chrom	start	end	length	orientation	left_gene	left_strand	right_gene	right_strand
NC_051805.1	5377330	5428711	51381	convergent	LOC111090571	+	LOC111090572	-
NC_051805.1	7072137	7132579	60442	convergent	LOC111090579	+	LOC100685067	-
NC_051805.1	12686627	12749345	62718	convergent	LOC111093764	+	LOC607190	-
NC_051805.1	15464961	15523285	58324	convergent	LOC111090610	+	LOC100688146	-
NC_051805.1	16284172	16340519	56347	convergent	LOC119869864	+	PMAIP1	-
NC_051805.1	23540619	23593624	53005	convergent	LOC119870725	+	LOC119870724	-
NC_051805.1	26121059	26180255	59196	convergent	LOC111095273	+	LOC476208	-
NC_051805.1	29601219	29667821	66602	convergent	LOC100856045	+	IL20RA	-
NC_051805.1	30822469	30875140	52671	convergent	ARFGEF3	+	LOC111095460	-
NC_051805.1	32197089	32249732	52643	convergent	LOC119870654	+	LOC111090654	-
NC_051805.1	48451052	48513492	62440	convergent	LOC111095873	+	RSPH3	-
NC_051805.1	54446758	54504939	58181	convergent	LOC119869870	+	PRR18	-
NC_051805.1	55288363	55358132	69769	convergent	LOC102153253	+	LOC111090695	-
NC_051805.1	55810634	55864353	53719	convergent	LOC119870159	+	LOC111090696	-
NC_051805.1	60400908	60462010	61102	convergent	LOC119869937	+	LOC111089986	-
NC_051805.1	65127836	65201393	73557	convergent	TRMT11	+	LOC100682630	-
NC_051805.1	68528776	68579924	51148	convergent	LOC111090714	+	TMEM244	-
NC_051805.1	71035668	71094862	59194	convergent	LOC111096339	+	ERCC6L2	-
NC_051805.1	75730614	75782632	52018	convergent	LOC100684008	+	RMI1	-
NC_051805.1	76492055	76558248	66193	convergent	FRMD3	+	LOC111096570	-
NC_051805.1	78699957	78766843	66886	convergent	LOC100685388	+	LOC476315	-
NC_051805.1	84616059	84680359	64300	convergent	LOC119869841	+	LOC100686852	-
NC_051805.1	85740590	85790734	50144	convergent	LOC119869527	+	LOC102153097	-
NC_051805.1	86132349	86196873	64524	convergent	LOC102153343	+	C1H9orf85	-
NC_051805.1	87683331	87744102	60771	convergent	KLF9	+	SMC5	-
NC_051805.1	91186888	91251253	64365	convergent	LOC119869582	+	LOC111096818	-
NC_051805.1	97204375	97272513	68138	convergent	LOC102156616	+	LOC111090790	-
NC_051805.1	102569417	102626167	56750	convergent	LOC119870888	+	LOC119871020	-
NC_051805.1	118762948	118834530	71582	convergent	LOC100685960	+	LOC111098307	-
NC_051805.1	120003827	120058858	55031	convergent	LOC102152107	+	DPY19L3	-
NC_051806.1	2276949	2331192	54243	convergent	CUL2	+	LOC111094492	-
NC_051806.1	5490645	5562196	71551	convergent	LOC119870094	+	GAD2	-
NC_051806.1	9925163	9998285	73122	convergent	LOC119869979	+	LOC106560013	-
NC_051806.1	13354030	13405141	51111	convergent	LOC111091364	+	LOC106560015	-
NC_051806.1	17055808	17110317	54509	convergent	PTCHD3	+	ANKRD26	-
NC_051806.1	23362298	23415104	52806	convergent	BEND7	+	LOC119869987	-
NC_051806.1	25264511	25315271	50760	convergent	USP6NL	+	LOC119869990	-
NC_051806.1	29613097	29682625	69528	convergent	LOC111091644	+	LOC111091655	-
NC_051806.1	31421264	31473494	52230	convergent	LOC111091701	+	LOC119870074	-
NC_051806.1	37763146	37815322	52176	convergent	LOC102153902	+	LOC111094200	-
NC_051806.1	38503041	38573083	70042	convergent	ARHGAP26	+	NR3C1	-
NC_051806.1	39071176	39129828	58652	convergent	LOC119879638	+	LOC111092064	-
NC_051806.1	39159547	39230847	71300	convergent	LOC111094604	+	LOC119870003	-
NC_051806.1	55898984	55971473	72489	convergent	PTCD2	+	ZNF366	-
NC_051806.1	61050066	61110203	60137	convergent	LOC119870018	+	LOC102154386	-
NC_051806.1	62723085	62783656	60571	convergent	RPGRIP1L	+	LOC119870323	-
NC_051806.1	63630965	63704659	73694	convergent	TOX3	+	LOC100687235	-
NC_051806.1	77425724	77486897	61173	convergent	LOC102153519	+	LOC119870436	-
NC_051806.1	80612441	80666392	53951	convergent	LOC119870059	+	KLHDC7A	-
NC_051806.1	84152591	84202660	50069	convergent	LOC119870024	+	PDPN	-
NC_051806.1	84303869	84363723	59854	convergent	LRRC38	+	C2H1orf158	-
NC_051807.1	9691905	9747134	55229	convergent	ST8SIA4	+	LOC106558558	-
NC_051807.1	10779807	10837318	57511	convergent	LOC100685686	+	LOC119871165	-
NC_051807.1	21623166	21678171	55005	convergent	LOC119871170	+	LOC111095350	-
NC_051807.1	22304729	22367018	62289	convergent	LOC111095151	+	LOC119871362	-
NC_051807.1	25390804	25445201	54397	convergent	LOC119871164	+	LOC111095157	-
NC_051807.1	31153307	31211185	57878	convergent	GCNT4	+	MIR8901	-
NC_051807.1	32087727	32156058	68331	convergent	TUBGCP5	+	LOC100688323	-
NC_051807.1	34846149	34921008	74859	convergent	LOC119871185	+	LOC106558580	-
NC_051807.1	35803900	35876584	72684	convergent	UBE3A	+	LOC100685501	-
NC_051807.1	44207725	44265967	58242	convergent	LOC119870785	+	LOC111095367	-
NC_051807.1	50781019	50831091	50072	convergent	AGBL1	+	LOC102152355	-
NC_051807.1	56269278	56323122	53844	convergent	EFL1	+	LOC106558624	-
NC_051807.1	60928139	60979861	51722	convergent	LOC119871320	+	HMX1	-
NC_051807.1	67665045	67732484	67439	convergent	LOC111095269	+	LOC111095270	-
NC_051807.1	72901974	72956918	54944	convergent	RBM47	+	CHRNA9	-
NC_051807.1	73210443	73261055	50612	convergent	LOC119871251	+	TRNAK-CUU-6	-
NC_051807.1	74470819	74522415	51596	convergent	LOC106558641	+	LOC111095389	-
NC_051807.1	76113264	76180116	66852	convergent	LOC111095297	+	LOC102153709	-
NC_051807.1	76613649	76664485	50836	convergent	ARAP2	+	LOC100688576	-
NC_051807.1	77813684	77865855	52171	convergent	LOC111095391	+	LOC111095392	-
NC_051807.1	81859047	81912809	53762	convergent	LOC119872911	+	LOC119871343	-
NC_051807.1	85288823	85342443	53620	convergent	LOC111095403	+	LOC100686918	-
NC_051808.1	1943254	2003893	60639	convergent	LOC102151881	+	LOC111095689	-
NC_051808.1	4984288	5034699	50411	convergent	LOC111095431	+	LOC111095433	-
NC_051808.1	5485501	5546210	60709	convergent	LOC102155069	+	SLC35F3	-
NC_051808.1	6820779	6870891	50112	convergent	LOC119871610	+	LOC111095435	-
NC_051808.1	12066504	12128157	61653	convergent	LOC111095700	+	SLC16A9	-
NC_051808.1	13169783	13237184	67401	convergent	CDK1	+	RHOBTB1	-
NC_051808.1	14781335	14832377	51042	convergent	LOC111095463	+	LOC119871460	-
NC_051808.1	17362530	17419663	57133	convergent	LOC100856460	+	LOC100686735	-
NC_051808.1	28998408	29056566	58158	convergent	LOC102155105	+	LOC111095511	-
NC_051808.1	36047237	36120971	73734	convergent	LOC100684047	+	LOC111095523	-
NC_051808.1	37518160	37569466	51306	convergent	THOC3	+	CPLX2	-
NC_051808.1	37795829	37851034	55205	convergent	LOC119871736	+	SFXN1	-
NC_051808.1	42728958	42791035	62077	convergent	LOC119871511	+	LOC100687995	-
NC_051808.1	55513056	55565959	52903	convergent	LOC106558729	+	LOC119871746	-
NC_051808.1	56109927	56183571	73644	convergent	LOC111095578	+	GRIA1	-
NC_051808.1	61210674	61263506	52832	convergent	CSPG4B	+	LOC119871643	-
NC_051808.1	64067111	64119158	52047	convergent	LOC102157144	+	LOC100687852	-
NC_051808.1	65949583	66022083	72500	convergent	LOC100687240	+	MRPS30	-
NC_051808.1	76456036	76509373	53337	convergent	DROSHA	+	CDH6	-
NC_051808.1	77033647	77089414	55767	convergent	TMEM125	+	LOC102156164	-
NC_051808.1	81940968	82004288	63320	convergent	LOC100685641	+	LOC479379	-
NC_051808.1	83742031	83797839	55808	convergent	CDH12	+	LOC111095663	-
NC_051808.1	87580819	87638502	57683	convergent	ZNF622	+	LOC106558684	-
NC_051809.1	2620428	2685222	64794	convergent	OPCML	+	NTM	-
NC_051809.1	6345291	6400601	55310	convergent	LOC111096091	+	LOC119871991	-
NC_051809.1	14259045	14318214	59169	convergent	LOC119871999	+	LOC111095807	-
NC_051809.1	18909987	18974471	64484	convergent	C5H11orf71	+	LOC119881489	-
NC_051809.1	23237689	23310760	73071	convergent	LOC111095852	+	C5H11orf87	-
NC_051809.1	27846016	27902436	56420	convergent	LOC100687870	+	LOC111095862	-
NC_051809.1	32059172	32124240	65068	convergent	LOC119871841	+	LOC111095870	-
NC_051809.1	47160487	47220638	60151	convergent	LOC119871875	+	LOC100684598	-
NC_051809.1	67812010	67871860	59850	convergent	ZDHHC7	+	LOC119872032	-
NC_051809.1	89203545	89257435	53890	convergent	LOC111096139	+	LOC119874957	-
NC_051810.1	3695908	3765879	69971	convergent	LOC119881536	+	LOC119872440	-
NC_051810.1	15694571	15754185	59614	convergent	LOC102156691	+	LOC111096491	-
NC_051810.1	43751242	43809227	57985	convergent	SLC25A24	+	LOC102151888	-
NC_051810.1	46489068	46547626	58558	convergent	LOC111096509	+	LOC100683041	-
NC_051810.1	50658944	50727578	68634	convergent	LOC119872255	+	LOC119872463	-
NC_051810.1	54055016	54116812	61796	convergent	LOC111096377	+	LOC111096379	-
NC_051810.1	54185278	54253504	68226	convergent	LOC119872358	+	LOC119876387	-
NC_051810.1	65303098	65376045	72947	convergent	LOC102151889	+	LOC111096431	-
NC_051810.1	68878658	68947141	68483	convergent	LOC102152406	+	IFI44	-
NC_051811.1	2494758	2545521	50763	convergent	LOC111096593	+	LOC102152591	-
NC_051811.1	11479120	11529669	50549	convergent	LOC111096626	+	LOC610143	-
NC_051811.1	15394995	15461327	66332	convergent	LOC106559021	+	GLUL	-
NC_051811.1	17217706	17274511	56805	convergent	LOC119876429	+	LOC119872513	-
NC_051811.1	22837876	22907514	69638	convergent	LOC100688557	+	LOC111096880	-
NC_051811.1	25873242	25943461	70219	convergent	LOC111096660	+	LOC111096885	-
NC_051811.1	35118386	35179633	61247	convergent	LOC111096699	+	LOC111096700	-
NC_051811.1	48020921	48077046	56125	convergent	RIT2	+	LOC119872716	-
NC_051811.1	54309697	54360521	50824	convergent	LOC106559055	+	GALNT1	-
NC_051811.1	57734073	57792841	58768	convergent	TRAPPC8	+	LOC111096784	-
NC_051811.1	59853346	59916313	62967	convergent	NA	+	LOC612611	-
NC_051811.1	62263653	62326266	62613	convergent	KCTD1	+	TAF4B	-
NC_051811.1	69954234	70019343	65109	convergent	MYL12B	+	LOC106559068	-
NC_051811.1	72146896	72199972	53076	convergent	LOC111096813	+	LOC111096814	-
NC_051811.1	77245369	77305935	60566	convergent	NA	+	LOC111096922	-
NC_051811.1	80890788	80943582	52794	convergent	MAPK4	+	LOC100688129	-
NC_051812.1	52431	118675	66244	convergent	LOC119872972	+	LOC119872973	-
NC_051812.1	788172	845815	57643	convergent	LOC490585	+	OR4L1	-
NC_051812.1	5172690	5239184	66494	convergent	LOC119873153	+	LOC608162	-
NC_051812.1	5534832	5600865	66033	convergent	LOC111097200	+	LOC119872981	-
NC_051812.1	6167980	6227889	59909	convergent	LOC119872983	+	NOVA1	-
NC_051812.1	8640791	8694857	54066	convergent	LOC111096975	+	LOC102154002	-
NC_051812.1	10610167	10663583	53416	convergent	LOC102155565	+	HEATR5A	-
NC_051812.1	12903397	12977974	74577	convergent	NPAS3	+	EGLN3	-
NC_051812.1	21931015	21992476	61461	convergent	LOC100684096	+	LOC119872816	-
NC_051812.1	27735066	27803631	68565	convergent	TMX1	+	LOC111097216	-
NC_051812.1	28781785	28839966	58181	convergent	LOC111097218	+	TXNDC16	-
NC_051812.1	36266983	36333691	66708	convergent	SLC38A6	+	LOC111097065	-
NC_051812.1	54071776	54128751	56975	convergent	LOC102153790	+	LOC119873009	-
NC_051812.1	55781421	55851186	69765	convergent	LOC111097231	+	LOC106559104	-
NC_051812.1	58732540	58805036	72496	convergent	LOC119873149	+	LOC119873016	-
NC_051812.1	61680835	61737486	56651	convergent	CALM1	+	LOC111097143	-
NC_051812.1	67788194	67843405	55211	convergent	LOC119873039	+	LOC111097248	-
NC_051812.1	70725627	70776316	50689	convergent	LOC106559203	+	LOC119881569	-
NC_051812.1	71254791	71309046	54255	convergent	TNFAIP2	+	LOC480441	-
NC_051813.1	8313493	8376479	62986	convergent	LOC102156472	+	LOC102156400	-
NC_051813.1	8406782	8479948	73166	convergent	LOC119873409	+	SOX9	-
NC_051813.1	15175682	15238845	63163	convergent	LOC102154199	+	CACNG5	-
NC_051813.1	33214836	33269418	54582	convergent	MSI2	+	CCDC182	-
NC_051813.1	35794767	35867117	72350	convergent	BRIP1	+	LOC100855486	-
NC_051813.1	42596793	42666787	69994	convergent	LOC102151497	+	LOC111097438	-
NC_051813.1	44260433	44316601	56168	convergent	LOC119873524	+	LOC119881587	-
NC_051813.1	53233104	53304110	71006	convergent	MED27	+	LOC111097551	-
NC_051813.1	55289222	55342350	53128	convergent	LOC102151894	+	LOC111097492	-
NC_051813.1	60390416	60460489	70073	convergent	LOC119873444	+	LOC119873377	-
NC_051814.1	6647061	6715959	68898	convergent	LOC119881620	+	LOC119881618	-
NC_051814.1	16586697	16654416	67719	convergent	LOC100685032	+	LOC119873751	-
NC_051814.1	22082493	22156729	74236	convergent	LOC119873757	+	LOC102153700	-
NC_051814.1	24918877	24986657	67780	convergent	LOC119873626	+	LOC119873758	-
NC_051814.1	25211889	25276787	64898	convergent	SLC25A17	+	MCHR1	-
NC_051814.1	29447517	29507386	59869	convergent	LOC102152977	+	MCM5	-
NC_051814.1	33387381	33437530	50149	convergent	LOC106559418	+	LOC106559383	-
NC_051814.1	34678177	34747422	69245	convergent	LOC102152060	+	TXNRD1	-
NC_051814.1	35158873	35212398	53525	convergent	SEPTIN10	+	LOC106559442	-
NC_051814.1	46275184	46345564	70380	convergent	TRNAI-UAU-2	+	LOC119873662	-
NC_051814.1	46556671	46612324	55653	convergent	LOC106559407	+	LOC119873664	-
NC_051814.1	55173498	55233905	60407	convergent	NA	+	LOC102151272	-
NC_051814.1	57054512	57104779	50267	convergent	LOC119873779	+	CLHC1	-
NC_051814.1	57815583	57880350	64767	convergent	LOC119873681	+	LOC111097852	-
NC_051814.1	61932847	61989787	56940	convergent	LOC102155693	+	LOC119873691	-
NC_051814.1	63844443	63896703	52260	convergent	OTX1	+	LOC100686739	-
NC_051814.1	66943912	67008116	64204	convergent	MEIS1	+	LOC111097797	-
NC_051814.1	68117840	68179368	61528	convergent	LOC100683563	+	C1D	-
NC_051815.1	5132068	5205139	73071	convergent	LOC102157398	+	LOC119873853	-
NC_051815.1	7585907	7653876	67969	convergent	LOC100687242	+	LOC106559451	-
NC_051815.1	15804115	15863613	59498	convergent	LOC111097925	+	LOC111098006	-
NC_051815.1	33774377	33832861	58484	convergent	LOC100856273	+	LOC100856119	-
NC_051815.1	54176384	54240721	64337	convergent	MELK	+	LOC119874128	-
NC_051815.1	56181459	56247618	66159	convergent	LOC111098102	+	LOC119874060	-
NC_051815.1	67619694	67676552	56858	convergent	LOC119873978	+	LOC111097883	-
NC_051815.1	72532281	72586362	54081	convergent	LOC106559529	+	LOC119873989	-
NC_051815.1	74432972	74494463	61491	convergent	LOC111097897	+	LOC119874053	-
NC_051816.1	729204	780179	50975	convergent	LOC100684529	+	LOC119874351	-
NC_051816.1	888522	959052	70530	convergent	MUC21	+	LOC119876866	-
NC_051816.1	2021125	2084815	63690	convergent	LOC119881685	+	TSBP1	-
NC_051816.1	5010995	5063926	52931	convergent	LOC608284	+	FKBP5	-
NC_051816.1	10056117	10121857	65740	convergent	LOC111098152	+	LOC119874267	-
NC_051816.1	13571280	13642018	70738	convergent	LOC111098270	+	SUPT3H	-
NC_051816.1	16360664	16416333	55669	convergent	OPN5	+	LOC119876862	-
NC_051816.1	25815845	25884245	68400	convergent	LOC111098165	+	LOC111098166	-
NC_051816.1	40263604	40321877	58273	convergent	LOC100855752	+	LOC111098325	-
NC_051816.1	41991512	42044662	53150	convergent	BCKDHB	+	LOC102155357	-
NC_051816.1	47327902	47386565	58663	convergent	HTR1E	+	CGA	-
NC_051816.1	48272208	48342011	69803	convergent	SPACA1	+	CNR1	-
NC_051816.1	48393708	48452461	58753	convergent	LOC111098352	+	LOC119874280	-
NC_051816.1	53806181	53865232	59051	convergent	LOC100684677	+	LOC100687875	-
NC_051816.1	64340623	64411071	70448	convergent	PRDM1	+	ATG5	-
NC_051816.1	67608124	67672326	64202	convergent	GPR6	+	LOC111098188	-
NC_051816.1	70866191	70918704	52513	convergent	MARCKS	+	LOC106559557	-
NC_051816.1	72343871	72396378	52507	convergent	LOC119874236	+	LOC111098409	-
NC_051816.1	73372682	73425689	53007	convergent	LOC111098416	+	PSMB1	-
NC_051817.1	670319	729017	58698	convergent	LOC111098485	+	LOC111098432	-
NC_051817.1	2762900	2833447	70547	convergent	LOC119876950	+	LOC119864717	-
NC_051817.1	8064988	8132108	67120	convergent	LOC111098516	+	LOC119865560	-
NC_051817.1	8580007	8642797	62790	convergent	LOC111098518	+	LOC111098519	-
NC_051817.1	10033333	10096852	63519	convergent	MIR8836	+	NUDCD1	-
NC_051817.1	12626538	12686868	60330	convergent	LOC106559613	+	CSMD3	-
NC_051817.1	16507341	16565029	57688	convergent	UTP23	+	LOC100687037	-
NC_051817.1	24350676	24411685	61009	convergent	LOC119865453	+	LOC102151612	-
NC_051817.1	28001742	28068918	67176	convergent	LOC111098451	+	ADCY8	-
NC_051817.1	29429036	29482883	53847	convergent	LOC102153335	+	LRRC6	-
NC_051817.1	42409351	42467972	58621	convergent	LOC119865519	+	LOC119865447	-
NC_051817.1	50196685	50266401	69716	convergent	LOC100683751	+	LOC100683821	-
NC_051818.1	5712360	5767938	55578	convergent	LOC102155278	+	LOC119867007	-
NC_051818.1	9869905	9920386	50481	convergent	LOC119865745	+	LOC100688839	-
NC_051818.1	14495427	14554191	58764	convergent	LOC119874506	+	TEX47	-
NC_051818.1	19245636	19304857	59221	convergent	GNG11	+	BET1	-
NC_051818.1	43701564	43775013	73449	convergent	ADCYAP1R1	+	LOC102154587	-
NC_051818.1	47079968	47131672	51704	convergent	LOC119867666	+	LOC111098822	-
NC_051818.1	60626704	60697896	71192	convergent	LOC119866869	+	SLC13A1	-
NC_051819.1	3753627	3825487	71860	convergent	LOC119869470	+	LOC119881733	-
NC_051819.1	4205082	4273748	68666	convergent	LOC111098951	+	LOC102151429	-
NC_051819.1	20314140	20377667	63527	convergent	LOC119869464	+	LOC119869379	-
NC_051819.1	23412529	23465999	53470	convergent	MYF5	+	LIN7A	-
NC_051819.1	27740518	27794146	53628	convergent	LOC102154855	+	LOC100683898	-
NC_051819.1	27864256	27917940	53684	convergent	LOC111090020	+	RASSF9	-
NC_051819.1	29615719	29672503	56784	convergent	LOC111098932	+	LOC111098894	-
