chrom	start	end	length	masked_bp	pct_repeat
NC_051805.1	7072137	7132579	60442	18888	31.25
NC_051805.1	12686627	12749345	62718	23310	37.17
NC_051805.1	32197089	32249732	52643	14723	27.97
NC_051805.1	60400908	60462010	61102	23321	38.17
NC_051805.1	85740590	85790734	50144	14420	28.76
NC_051806.1	17055808	17110317	54509	17447	32.01
NC_051807.1	10779807	10837318	57511	21872	38.03
NC_051807.1	22304729	22367018	62289	20294	32.58
NC_051807.1	44207725	44265967	58242	15925	27.34
NC_051807.1	77813684	77865855	52171	20228	38.77
NC_051808.1	81940968	82004288	63320	21575	34.07
NC_051811.1	25873242	25943461	70219	30414	43.31
NC_051811.1	48020921	48077046	56125	16701	29.76
NC_051812.1	5534832	5600865	66033	24751	37.48
NC_051812.1	21931015	21992476	61461	24275	39.5
NC_051812.1	58732540	58805036	72496	20365	28.09
NC_051815.1	7585907	7653876	67969	28480	41.9
NC_051815.1	15804115	15863613	59498	22605	37.99
NC_051815.1	74432972	74494463	61491	15299	24.88
NC_051816.1	40263604	40321877	58273	29290	50.26
NC_051817.1	12626538	12686868	60330	24570	40.73
NC_051817.1	24350676	24411685	61009	29361	48.13
NC_051820.1	51445768	51508808	63040	14930	23.68
NC_051821.1	4818014	4875944	57930	19243	33.22
NC_051823.1	40699370	40753962	54592	24954	45.71
NC_051823.1	43660794	43734482	73688	19673	26.7
NC_051826.1	1416239	1480570	64331	25273	39.29
NC_051826.1	19596764	19663367	66603	17359	26.06
NC_051826.1	29235878	29299159	63281	22220	35.11
NC_051826.1	55859005	55918918	59913	15293	25.53
NC_051827.1	1109045	1172665	63620	24814	39.0
NC_051827.1	34198197	34269938	71741	24012	33.47
NC_051831.1	39677324	39739751	62427	17942	28.74
NC_051833.1	23112498	23172320	59822	26284	43.94
NC_051835.1	18249632	18323889	74257	31823	42.86
NC_051835.1	23436373	23508916	72543	19182	26.44
NC_051837.1	7790832	7842018	51186	16039	31.33
NC_051841.1	7533022	7602083	69061	23477	33.99
NC_051843.1	10578732	10643009	64277	22446	34.92
NC_051843.1	59813343	59874197	60854	39677	65.2
NC_051843.1	69851587	69907041	55454	32668	58.91
NC_051843.1	79168554	79226339	57785	25108	43.45
NC_051843.1	104147730	104215864	68134	22460	32.96
