chrom	start	end	length	orientation	left_gene	right_gene	hard_veto	veto_tad_boundary	veto_atac_peak	veto_risk_gene	veto_low_mappability	veto_mirna_nearby	veto_risk_gene_radius	veto_gene_dense_neighborhood	veto_lncrna_smallrna	veto_tad_risk_gene	veto_high_repeat_content	pct_repeat	veto_ultraconserved_element	max_50bp_rolling_phyloP	veto_external_regulatory_element	veto_low_atac_accessibility	no_rrbs_coverage	atac_mean	atac_mean_percentile	atac_mean_narrow	atac_mean_narrow_percentile	atac_variability	atac_peak_frequency	rrbs_mean	rrbs_variability	tad_boundary_distance	mirna_distance	risk_gene_radius_distance	gene_dense_clearance	score_stability_atac	score_low_peak_frequency	score_low_methylation	score_stability_rrbs	score_tad_distance	final_score	final_score_percentile
NC_051805.1	5377330	5428711	51381	convergent	LOC111090571	LOC111090572	True	False	False	False	False	False	False	True	False	False	False		False		True	False	False	0.9540996321529447	0.757	0.9573978947003683	0.7876666666666666	0.04983965091863925	1.0	6.039735631291882	0.5137347636648217	178020	12071148	660814	12788	0.4721	0.0193	0.8703	0.6069	0.772	0.5481	82.2
NC_051805.1	7072137	7132579	60442	convergent	LOC111090579	LOC100685067	False	False	False	False	False	False	False	False	False	False	False	31.25	False	4.15556	False	False	False	0.9421618955178973	0.7336666666666667	0.9283388318022093	0.7603333333333333	0.04928019983691307	1.0	2.3396537338690035	0.4269547934638199	447642	10371810	812616	120385	0.4856	0.0193	0.8845	0.6076	0.9643	0.5923	96.1
NC_051805.1	12686627	12749345	62718	convergent	LOC111093764	LOC607190	False	False	False	False	False	False	False	False	False	False	False	37.17	False	4.39912	False	False	False	0.9011924599922513	0.6683333333333333	0.8079006661176682	0.6886666666666666	0.04674532760336943	12.0	4.650986028134616	0.6203617824074517	232014	4756182	704919	65011	0.5479	0.0089	0.8744	0.6053	0.85	0.5773	91.1
NC_051805.1	15464961	15523285	58324	convergent	LOC111090610	LOC100688146	True	False	False	False	False	False	False	True	False	False	False		False		False	False	False	0.9581749371735807	0.7646666666666667	0.9706394521991412	0.8016666666666666	0.04950803588316404	1.0	3.4323146504398476	0.4619753946232288	344123	1980045	846396	14232	0.48	0.0193	0.8789	0.6074	0.9318	0.5835	94.1
NC_051805.1	16284172	16340519	56347	convergent	LOC119869864	PMAIP1	True	False	True	True	False	False	True	False	False	True	False		False		True	False	False	1.296598044021793	0.9746666666666667	1.1291252205769222	0.8793333333333333	0.06980067288483977	61.0	8.540093973024826	1.1839522621766223	37345	1161823	28174	92123	0.1778	0.0003	0.8643	0.5918	0.2885	0.3845	10.2
NC_051805.1	23540619	23593624	53005	convergent	LOC119870725	LOC119870724	True	False	True	False	False	False	True	True	False	False	False		False		False	False	False	1.0675387535050835	0.8863333333333333	1.0038743916193644	0.8243333333333334	0.05666920298276651	41.0	7.45948013694559	0.9878985017404335	157879	6092931	200280	7937	0.3314	0.0019	0.8668	0.5964	0.7294	0.5052	68.8
NC_051805.1	26121059	26180255	59196	convergent	LOC111095273	LOC476208	True	False	False	False	False	False	True	True	False	True	False		False		False	False	False	0.9338002883628361	0.7153333333333334	0.8334919926206272	0.6983333333333334	0.049041322772896585	14.0	3.831611939270485	0.5748126687147135	50657	8676467	160573	22847	0.491	0.008	0.8773	0.6061	0.3524	0.467	52.7
NC_051805.1	29601219	29667821	66602	convergent	LOC100856045	IL20RA	True	False	False	False	False	False	False	True	False	False	False		False		True	False	False	0.9822203477672377	0.798	0.9794734903971354	0.8103333333333333	0.051430558238448505	5.0	5.548274819648815	0.9442532692647062	40480	12160330	596972	10367	0.4364	0.0133	0.8716	0.5975	0.3033	0.4444	44.9
NC_051805.1	30822469	30875140	52671	convergent	ARFGEF3	LOC111095460	True	False	False	False	False	False	False	True	False	False	False		False		True	False	False	0.9612179890147786	0.7706666666666667	0.9361912769635519	0.768	0.04977832027017061	6.0	4.839544389068419	0.6779366702127256	248804	13374614	418211	4644	0.4734	0.0125	0.8738	0.6041	0.8668	0.5661	89.4
NC_051805.1	32197089	32249732	52643	convergent	LOC119870654	LOC111090654	True	False	False	False	False	False	False	False	False	False	False	27.97	True	6.91712	True	False	False	0.9815735291036448	0.798	0.9388454150239626	0.7703333333333333	0.05179497663724416	12.0	3.152439508517277	0.27984302287361734	26590	12405452	1792817	282559	0.4271	0.0089	0.8801	0.6079	0.2325	0.4313	38.4
NC_051805.1	48451052	48513492	62440	convergent	LOC111095873	RSPH3	True	False	False	False	False	False	True	True	False	True	False		False		True	False	False	1.192626922103347	0.95	1.0815795949459075	0.8623333333333333	0.06332782767752844	27.0	7.758436372354961	1.0124994498664828	42728	733093	84534	12483	0.2391	0.0042	0.8662	0.5958	0.3132	0.4037	21.5
NC_051805.1	54446758	54504939	58181	convergent	LOC119869870	PRR18	True	True	True	False	False	False	True	True	False	True	False		False		True	False	False	1.2546452012627607	0.9666666666666667	1.501541609700521	0.919	0.06648825984900562	43.0	18.544599120221793	3.2075670314578724	25848	5260460	116958	3885	0.2067	0.0017	0.8478	0.5624	0.2274	0.3692	5.9
NC_051805.1	55288363	55358132	69769	convergent	LOC102153253	LOC111090695	True	True	False	False	False	False	True	True	False	True	False		False		True	False	False	1.1157110002769	0.9186666666666666	1.147503270963828	0.883	0.05691907354403625	2.0	17.566768171010025	3.087079186157836	23247	6107859	256635	12490	0.3271	0.017	0.8489	0.5642	0.217	0.3948	14.8
NC_051805.1	55810634	55864353	53719	convergent	LOC119870159	LOC111090696	True	False	False	False	False	False	True	True	False	True	False		False		True	False	False	1.1739950441807152	0.9426666666666667	1.1389760473370552	0.8813333333333333	0.06039127119736322	1.0	24.14890183758071	4.335472496789846	37493	6622105	72862	1595	0.2749	0.0193	0.8414	0.544	0.2886	0.3936	14.5
NC_051805.1	60400908	60462010	61102	convergent	LOC119869937	LOC111089986	False	False	False	False	False	False	False	False	False	False	False	38.17	False	5.4602200000000005	False	False	False	0.9013953078285161	0.6686666666666666	0.930373237991333	0.7636666666666667	0.04687603440832749	1.0	3.43459051213311	0.4406021417051017	343541	11216071	698716	70594	0.5444	0.0193	0.8789	0.6076	0.9313	0.5963	97.4
NC_051805.1	65127836	65201393	73557	convergent	TRMT11	LOC100682630	True	False	False	False	False	False	False	True	False	True	False		False		True	False	False	1.0519008099200609	0.873	1.0207660796483355	0.832	0.05513691479815557	11.0	12.591121673165924	1.3688389304174995	39614	6817352	884788	4557	0.3589	0.0094	0.857	0.588	0.2984	0.4224	33.8
NC_051805.1	68528776	68579924	51148	convergent	LOC111090714	TMEM244	True	False	False	False	False	False	False	True	False	False	False		False		True	False	False	1.02634955153892	0.851	0.971054889647166	0.803	0.05365695062892591	1.0	18.357036093083728	2.1699366939405493	29350	3427616	1197047	46339	0.3882	0.0193	0.848	0.5761	0.2478	0.4159	27.3
NC_051805.1	71035668	71094862	59194	convergent	LOC111096339	ERCC6L2	True	False	False	False	False	False	False	True	False	False	False		False		True	False	False	1.1163619179589293	0.9186666666666666	1.1705883603096008	0.8873333333333333	0.0571478675311264	3.0	9.920537086806874	1.8873498517103515	140265	916701	477694	35792	0.3232	0.0155	0.8618	0.5798	0.6889	0.4938	64.9
NC_051805.1	75730614	75782632	52018	convergent	LOC100684008	RMI1	True	True	False	False	False	True	True	True	False	True	False		False		False	False	False	0.949349067772066	0.7503333333333333	0.9631654119729995	0.792	0.04997678724049984	1.0	3.9862675257301303	0.40212140511655675	6623	54435	44011	2984	0.4691	0.0193	0.8767	0.6077	0.1247	0.4195	30.8
NC_051805.1	76492055	76558248	66193	convergent	FRMD3	LOC111096570	True	False	False	False	False	False	False	True	False	False	False		False		False	False	False	0.9664423185227132	0.781	0.9393832200169563	0.771	0.0504728817282387	0.0	3.1577408862590204	0.6157090176265968	224849	714070	712332	7637	0.4576	0.0287	0.8801	0.6054	0.8409	0.5625	87.9
NC_051805.1	78699957	78766843	66886	convergent	LOC100685388	LOC476315	True	False	False	False	False	False	False	True	False	False	False		False		False	False	False	0.9042662946311154	0.671	0.8524752332051596	0.7086666666666667	0.04830278964382437	8.0	3.679585820922977	0.495366442120715	266600	2922319	756588	2947	0.5111	0.0111	0.8779	0.6071	0.8832	0.5781	91.8
NC_051805.1	84616059	84680359	64300	convergent	LOC119869841	LOC100686852	True	False	False	False	False	False	False	True	False	False	False		False		False	False	False	0.9369612159649902	0.7216666666666667	0.9284103481451672	0.7603333333333333	0.04989140795187483	1.0	1.823375279712341	0.3477129842990824	501791	2623158	546039	17725	0.471	0.0193	0.8883	0.6079	0.9739	0.5921	95.9
NC_051805.1	85740590	85790734	50144	convergent	LOC119869527	LOC102153097	True	False	False	False	False	False	False	False	False	False	False	28.76	False	4.517519999999999	True	False	False	1.1324537086029733	0.9273333333333333	1.1558926516930261	0.8846666666666667	0.0612998912988559	25.0	1.612990261103864	0.14968424735291538	90662	1505705	320906	67378	0.2636	0.0046	0.8902	0.608	0.5275	0.4588	49.2
NC_051805.1	86132349	86196873	64524	convergent	LOC102153343	C1H9orf85	True	True	False	False	False	False	False	False	False	False	False		False		True	False	False	1.0162436092463734	0.8353333333333334	1.004071661567688	0.8246666666666667	0.052692845508093195	15.0	5.241902786706052	0.686150056163376	0	1106756	719855	60471	0.408	0.0076	0.8725	0.6039	0.0901	0.3964	15.6
NC_051805.1	87683331	87744102	60771	convergent	KLF9	SMC5	True	False	True	True	False	False	True	True	False	True	False		False		True	False	False	1.0501922729253843	0.8706666666666667	1.0150897149443627	0.8286666666666667	0.05431775451079189	71.0	5.358112130580958	0.6578374626817871	136284	442327	30385	23373	0.3743	0.0	0.8722	0.6045	0.6786	0.5059	69.4
NC_051805.1	91186888	91251253	64365	convergent	LOC119869582	LOC111096818	True	False	False	False	False	False	True	True	False	True	False		False		True	False	False	1.03871082279337	0.8623333333333333	1.0241805792331695	0.8356666666666667	0.05363127700752003	3.0	6.967981473497681	0.9723280022722873	205930	2530495	37266	5083	0.3887	0.0155	0.8679	0.5968	0.8158	0.5369	78.5
NC_051805.1	97204375	97272513	68138	convergent	LOC102156616	LOC111090790	True	False	False	False	False	False	False	True	False	False	False		False		True	False	False	1.2441819375416503	0.964	1.2252133679946262	0.8966666666666666	0.06496456444571959	17.0	27.62195086684974	4.01372416739855	111556	1280871	302059	24923	0.2221	0.0069	0.8344	0.5497	0.6034	0.4433	44.5
NC_051805.1	102569417	102626167	56750	convergent	LOC119870888	LOC119871020	True	False	False	False	False	False	True	True	False	False	False		False		False	False	False	0.877333099860977	0.6523333333333333	0.7422383785247803	0.6593333333333333	0.04346578154191046	1.0	6.30944050101133	1.1710635732856358	97792	1463935	129894	41312	0.6288	0.0193	0.8696	0.5921	0.554	0.5328	76.6
NC_051805.1	118762948	118834530	71582	convergent	LOC100685960	LOC111098307	True	True	False	False	False	False	False	True	False	False	False		False		False	False	False	0.9953359383282533	0.815	0.9628682310422262	0.7916666666666666	0.05178631373006478	6.0	5.377890693230603	0.6760723787138158	0	4248827	647951	3974	0.4273	0.0125	0.8722	0.6041	0.0901	0.4013	20.4
NC_051805.1	120003827	120058858	55031	convergent	LOC102152107	DPY19L3	True	False	False	False	False	False	False	True	False	False	False		False		True	False	False	1.0814431798121396	0.8976666666666666	1.0706592645486195	0.859	0.055288847090983605	2.0	22.020253116885044	3.0245393254702173	31342	3016224	582029	15969	0.3559	0.017	0.8437	0.5651	0.258	0.4079	23.6
NC_051806.1	2276949	2331192	54243	convergent	CUL2	LOC111094492	True	True	False	False	False	False	False	True	False	False	False		False		True	False	False	1.0124606812876933	0.833	0.9841194867769878	0.812	0.052587694123014006	9.0	6.1388844181024504	0.8520148979933132	4070	40699965	1406095	22196	0.41	0.0105	0.8701	0.5999	0.1131	0.4007	19.7
NC_051806.1	5490645	5562196	71551	convergent	LOC119870094	GAD2	True	True	False	False	False	False	True	True	False	False	False		False		False	False	False	0.9769579720944862	0.793	0.9012461708784103	0.737	0.051486753843331845	12.0	5.157785214545937	0.5984065669772328	0	37477615	277071	43261	0.4354	0.0089	0.8728	0.6057	0.0901	0.4026	21.0
NC_051806.1	9925163	9998285	73122	convergent	LOC119869979	LOC106560013	True	True	False	False	False	False	False	True	False	False	False		False		True	True	False	0.4506867742816252	0.426	0.4081984717080991	0.458	0.015307671466969609	0.0	4.121933108425029	0.46990865662699327	13276	33042311	933384	38794	0.9569	0.0287	0.8762	0.6073	0.1644	0.5267	75.5
NC_051806.1	13354030	13405141	51111	convergent	LOC111091364	LOC106560015	True	False	False	False	False	False	True	True	False	False	False		False		True	False	False	1.2408983535657383	0.9626666666666667	1.059489581298828	0.855	0.06410958189718789	28.0	10.99818925661104	1.6465075981570525	54585	29624450	156901	2688	0.2307	0.004	0.8598	0.5833	0.3713	0.4098	24.1
NC_051806.1	17055808	17110317	54509	convergent	PTCHD3	ANKRD26	False	False	False	False	False	False	False	False	False	False	False	32.01	False	1.74708	False	False	False	0.9426508160710871	0.735	0.9804023818731308	0.8103333333333333	0.049422077103294104	2.0	7.007836933745687	1.2778463715229356	66938	25920973	2101216	56866	0.4818	0.017	0.8678	0.5898	0.4266	0.4766	56.2
NC_051806.1	23362298	23415104	52806	convergent	BEND7	LOC119869987	True	False	False	False	False	False	True	True	False	False	False		False		True	False	False	1.0810963536096252	0.8976666666666666	1.0805880715847016	0.8623333333333333	0.05485326636064659	1.0	20.472729949597223	2.5655444012781845	36299	19615334	286259	35958	0.3637	0.0193	0.8454	0.5711	0.2835	0.4166	28.0
NC_051806.1	25264511	25315271	50760	convergent	USP6NL	LOC119869990	True	True	False	False	False	False	True	True	False	False	False		False		True	False	False	1.1677258163573143	0.9406666666666667	1.209129968325297	0.8946666666666667	0.05935155713066188	30.0	25.046219594053653	3.3496604546911515	0	17714144	84179	30775	0.2888	0.0036	0.8385	0.5603	0.0901	0.3563	2.8
NC_051806.1	29613097	29682625	69528	convergent	LOC111091644	LOC111091655	True	False	False	False	False	False	False	True	False	False	False		False		False	False	False	1.017427989778898	0.8383333333333334	1.0098282528281213	0.827	0.05211988735897026	3.0	4.090950590414592	0.4116555952399398	97861	13356174	561955	6493	0.4196	0.0155	0.8763	0.6077	0.554	0.4946	65.5
NC_051806.1	31421264	31473494	52230	convergent	LOC111091701	LOC119870074	True	False	False	False	False	False	False	True	False	True	False		False		True	False	False	0.986435203595155	0.804	0.9567798404335975	0.7866666666666666	0.051837735310576324	7.0	7.654738017814379	0.9399720725945662	322379	11556656	375809	28409	0.4263	0.0117	0.8664	0.5976	0.9209	0.5646	89.2
