chrom	start	end	length	orientation	left_gene	right_gene	hard_veto	veto_tad_boundary	veto_atac_peak	veto_risk_gene	veto_low_mappability	veto_mirna_nearby	veto_risk_gene_radius	veto_gene_dense_neighborhood	veto_lncrna_smallrna	veto_tad_risk_gene	veto_high_repeat_content	pct_repeat	veto_ultraconserved_element	max_50bp_rolling_phyloP	veto_external_regulatory_element	no_rrbs_coverage	atac_mean	atac_variability	rrbs_mean	rrbs_variability	tad_boundary_distance	mirna_distance	risk_gene_radius_distance	gene_dense_clearance	score_stability_atac	score_moderate_atac	score_low_methylation	score_stability_rrbs	score_tad_distance	final_score
NC_051805.1	5377330	5428711	51381	convergent	LOC111090571	LOC111090572	True	False	False	False	False	False	False	True	False	False	False		False		True	False	0.08819989254906906	0.04724774868303338	10.33834705603718	0.5137347636648217	178020	12071148	660814	12788						
NC_051805.1	7072137	7132579	60442	convergent	LOC111090579	LOC100685067	False	False	False	False	False	False	False	False	False	False	False	31.25	False	4.15556	False	False	0.08765556595025235	0.046515098357025615	4.14576126789335	0.4269547934638199	447642	10371810	812616	120385	0.4765	0.8737	0.9	0.6076	0.9643	0.7644
NC_051805.1	12686627	12749345	62718	convergent	LOC111093764	LOC607190	False	False	False	False	False	False	False	False	False	False	False	37.17	False	4.39912	False	False	0.08302736495846887	0.04423017092810597	8.893172120273194	0.6203617824074517	232014	4756182	704919	65011	0.5244	0.6941	0.8864	0.6053	0.85	0.712
NC_051805.1	15464961	15523285	58324	convergent	LOC111090610	LOC100688146	True	False	False	False	False	False	False	True	False	False	False		False		False	False	0.08890558041761111	0.047228715498998236	6.984528047361349	0.4619753946232288	344123	1980045	846396	14232						
NC_051805.1	16284172	16340519	56347	convergent	LOC119869864	PMAIP1	True	False	True	True	False	False	True	False	False	True	False		False		True	False	0.11549381804994731	0.06739933788996776	14.728572679036953	1.1839522621766223	37345	1161823	28174	92123						
NC_051805.1	23540619	23593624	53005	convergent	LOC119870725	LOC119870724	True	False	True	False	False	False	True	True	False	False	False		False		False	False	0.09737499418061653	0.0540974548936876	13.967244010779254	0.9878985017404335	157879	6092931	200280	7937						
NC_051805.1	26121059	26180255	59196	convergent	LOC111095273	LOC476208	True	False	False	False	False	False	True	True	False	True	False		False		False	False	0.08682062277523335	0.045823071667422374	6.716701819387801	0.5748126687147135	50657	8676467	160573	22847						
NC_051805.1	29601219	29667821	66602	convergent	LOC100856045	IL20RA	True	False	False	False	False	False	False	True	False	False	False		False		True	False	0.09062213150306757	0.04876706749178447	9.173142309905593	0.9442532692647062	40480	12160330	596972	10367						
NC_051805.1	30822469	30875140	52671	convergent	ARFGEF3	LOC111095460	True	False	False	False	False	False	False	True	False	False	False		False		True	False	0.08897913134894804	0.04708364724905071	8.798948199427258	0.6779366702127256	248804	13374614	418211	4644						
NC_051805.1	32197089	32249732	52643	convergent	LOC119870654	LOC111090654	True	False	False	False	False	False	False	False	False	False	False	27.97	True	6.91712	True	False	0.09056535564057155	0.048928704610129305	5.868042018262537	0.27984302287361734	26590	12405452	1792817	282559						
NC_051805.1	48451052	48513492	62440	convergent	LOC111095873	RSPH3	True	False	False	False	False	False	True	True	False	True	False		False		True	False	0.10753260663217926	0.06041948449263556	13.218801351912632	1.0124994498664828	42728	733093	84534	12483						
NC_051805.1	54446758	54504939	58181	convergent	LOC119869870	PRR18	True	True	True	False	False	False	True	True	False	True	False		False		True	False	0.1120963887266447	0.06475693189057563	26.452877395261982	3.2075670314578724	25848	5260460	116958	3885						
NC_051805.1	55288363	55358132	69769	convergent	LOC102153253	LOC111090695	True	True	False	False	False	False	True	True	False	True	False		False		True	False	0.10056868146738175	0.055087149732411	25.303356306149496	3.087079186157836	23247	6107859	256635	12490						
NC_051805.1	55810634	55864353	53719	convergent	LOC119870159	LOC111090696	True	False	False	False	False	False	True	True	False	True	False		False		True	False	0.10501861217667603	0.058606503323258945	32.9351951213543	4.335472496789846	37493	6622105	72862	1595						
NC_051805.1	60400908	60462010	61102	convergent	LOC119869937	LOC111089986	False	False	False	False	False	False	False	False	False	False	False	38.17	False	5.4602200000000005	False	False	0.08413960061873157	0.044044929464374556	5.340901835565487	0.4406021417051017	343541	11216071	698716	70594	0.5284	0.7366	0.8958	0.6076	0.9313	0.7399
NC_051805.1	65127836	65201393	73557	convergent	TRMT11	LOC100682630	True	False	False	False	False	False	False	True	False	True	False		False		True	False	0.09626934076527684	0.05277404778549448	19.87715167004114	1.3688389304174995	39614	6817352	884788	4557						
NC_051805.1	68528776	68579924	51148	convergent	LOC111090714	TMEM244	True	False	False	False	False	False	False	True	False	False	False		False		True	False	0.09404410448340288	0.05101948739506649	26.259881156001946	2.1699366939405493	29350	3427616	1197047	46339						
NC_051805.1	71035668	71094862	59194	convergent	LOC111096339	ERCC6L2	True	False	False	False	False	False	False	True	False	False	False		False		True	False	0.10060694425251934	0.055429812585983555	15.482077524135686	1.8873498517103515	140265	916701	477694	35792						
NC_051805.1	75730614	75782632	52018	convergent	LOC100684008	RMI1	True	True	False	False	False	True	True	True	False	True	False		False		False	False	0.0879124140799636	0.04669476655193872	7.856985049702597	0.40212140511655675	6623	54435	44011	2984						
NC_051805.1	76492055	76558248	66193	convergent	FRMD3	LOC111096570	True	False	False	False	False	False	False	True	False	False	False		False		False	False	0.08922216004504546	0.047969596392148026	6.038912255671218	0.6157090176265968	224849	714070	712332	7637						
NC_051805.1	78699957	78766843	66886	convergent	LOC100685388	LOC476315	True	False	False	False	False	False	False	True	False	False	False		False		False	False	0.0848152640490765	0.045546067654946905	5.933631857654928	0.495366442120715	266600	2922319	756588	2947						
NC_051805.1	84616059	84680359	64300	convergent	LOC119869841	LOC100686852	True	False	False	False	False	False	False	True	False	False	False		False		False	False	0.08766671433604524	0.04727623963198432	4.845463004414778	0.3477129842990824	501791	2623158	546039	17725						
NC_051805.1	85740590	85790734	50144	convergent	LOC119869527	LOC102153097	True	False	False	False	False	False	False	False	False	False	False	28.76	False	4.517519999999999	True	False	0.10297693649869134	0.05867084974874349	5.22766136432845	0.14968424735291538	90662	1505705	320906	67378						
NC_051805.1	86132349	86196873	64524	convergent	LOC102153343	C1H9orf85	True	True	False	False	False	False	False	False	False	False	False		False		True	False	0.09296816490638146	0.04992312771652069	10.34179496722425	0.686150056163376	0	1106756	719855	60471						
NC_051805.1	87683331	87744102	60771	convergent	KLF9	SMC5	True	False	True	True	False	False	True	True	False	True	False		False		True	False	0.09578716507308509	0.050982011928233664	10.780233783676708	0.6578374626817871	136284	442327	30385	23373						
NC_051805.1	91186888	91251253	64365	convergent	LOC119869582	LOC111096818	True	False	False	False	False	False	True	True	False	True	False		False		True	False	0.09490590850243635	0.05175306262231051	12.156772211435108	0.9723280022722873	205930	2530495	37266	5083						
NC_051805.1	97204375	97272513	68138	convergent	LOC102156616	LOC111090790	True	False	False	False	False	False	False	True	False	False	False		False		True	False	0.1102470878014838	0.06382992692901228	36.62922001039654	4.01372416739855	111556	1280871	302059	24923						
