chrom	start	end	length	orientation	left_gene	right_gene	hard_veto	veto_tad_boundary	veto_atac_peak	veto_risk_gene	veto_low_mappability	veto_mirna_nearby	veto_risk_gene_radius	veto_gene_dense_neighborhood	veto_lncrna_smallrna	veto_tad_risk_gene	veto_high_repeat_content	pct_repeat	veto_ultraconserved_element	max_50bp_rolling_phyloP	veto_external_regulatory_element	veto_low_atac_accessibility	no_rrbs_coverage	atac_mean	atac_mean_percentile	atac_mean_narrow	atac_mean_narrow_percentile	atac_variability	atac_peak_frequency	rrbs_mean	rrbs_variability	tad_boundary_distance	mirna_distance	risk_gene_radius_distance	gene_5prime_clearance	gene_dense_clearance_old_bodydist	score_stability_atac	score_low_peak_frequency	score_low_methylation	score_stability_rrbs	score_tad_distance	final_score	final_score_percentile
NC_051805.1	5377330	5428711	51381	convergent	LOC111090571	LOC111090572	True	False	False	False	False	False	False	False	False	False	False		False		True	True	False	0.9521743254099306	0.327	0.9666322712637484	0.3973333333333333	0.05014803755382431	1.0	6.073176193779281	12.777171888134696	178020	12071148	660814	384680	12788	0.6983	0.5053	0.3777	0.776	0.772	0.6259	85.7
NC_051805.1	7072137	7132579	60442	convergent	LOC111090579	LOC100685067	True	False	False	False	False	False	False	False	False	False	False	31.25	False	4.15556	False	True	False	0.9394483517755928	0.264	0.9361465922668576	0.25666666666666665	0.049242952746250665	1.0	2.3898520983566	23.147630348205567	447642	10371810	812616	383530	120385	0.8227	0.5053	0.8823	0.0363	0.9643	0.6422	88.9
NC_051805.1	12686627	12749345	62718	convergent	LOC111093764	LOC607190	True	False	False	False	False	False	False	False	False	False	False	37.17	False	4.39912	False	True	False	0.9055627527682923	0.11766666666666667	0.7788445811182261	0.04466666666666667	0.050605679229591506	2.0	4.2940739857884	18.342065620422364	232014	4756182	704919	332720	65011	0.6383	0.4627	0.5623	0.262	0.85	0.5551	74.2
NC_051805.1	15464961	15523285	58324	convergent	LOC111090610	LOC100688146	True	False	False	False	False	False	False	False	False	False	False		False		False	True	False	0.9531995821364802	0.333	0.9668993477329612	0.3983333333333333	0.04915564255493193	1.0	3.197954598870201	23.171606577174618	344123	1980045	846396	205959	14232	0.8333	0.5053	0.7303	0.036	0.9318	0.6074	81.6
NC_051805.1	16284172	16340519	56347	convergent	LOC119869864	PMAIP1	True	False	True	True	False	False	True	True	False	True	False		False		True	False	False	1.2958323103411187	0.9233333333333333	1.0873943568617106	0.7233333333333334	0.07116852834105629	61.0	9.30568025020207	18.540418343001253	37345	1161823	28174	3842	92123	0.0573	0.0517	0.2227	0.2467	0.2885	0.1734	0.7
NC_051805.1	23540619	23593624	53005	convergent	LOC119870725	LOC119870724	True	False	True	False	False	False	True	False	False	False	False		False		False	True	False	1.0582848083021597	0.6696666666666666	1.0066883541181684	0.546	0.056217087745925265	41.0	6.180743995719041	16.23979918162028	157879	6092931	200280	115978	7937	0.291	0.147	0.368	0.4573	0.7294	0.3985	41.6
NC_051805.1	26121059	26180255	59196	convergent	LOC111095273	LOC476208	True	False	False	False	False	False	True	True	False	True	False		False		False	True	False	0.9310292222400728	0.22333333333333333	0.8311553662359714	0.05333333333333334	0.049744324841838834	14.0	4.172635352178976	16.77658143951054	50657	8676467	160573	1215	22847	0.7523	0.304	0.5777	0.403	0.3524	0.4779	59.4
NC_051805.1	29601219	29667821	66602	convergent	LOC100856045	IL20RA	True	False	False	False	False	False	False	True	False	False	False		False		True	True	False	0.9752333310689552	0.41833333333333333	0.9858825764730572	0.4713333333333333	0.05123184390095939	5.0	5.3405908574456875	17.1860857547169	40480	12160330	596972	14053	10367	0.572	0.4037	0.4397	0.3617	0.3033	0.4161	44.7
NC_051805.1	30822469	30875140	52671	convergent	ARFGEF3	LOC111095460	True	False	False	False	False	False	False	True	False	False	False		False		True	True	False	0.9530785870614643	0.333	0.9412298831425607	0.2813333333333333	0.049456294240522856	1.0	4.232992701052361	15.799850463867188	248804	13374614	418211	4644	4644	0.7943	0.5053	0.5693	0.5023	0.8668	0.6476	89.2
NC_051805.1	32197089	32249732	52643	convergent	LOC119870654	LOC111090654	True	False	False	False	False	False	False	False	False	False	False	27.97	True	6.91712	True	True	False	0.9730439151806226	0.4116666666666667	0.9373150307834148	0.25933333333333336	0.051544175840976224	12.0	3.116231138301363	17.457620228038113	26590	12405452	1792817	510233	282559	0.5437	0.3233	0.746	0.3377	0.2325	0.4366	51.2
