window_id	chrom	feature	transcript_id	gene	strand	annotated_5prime0	gap_bp	window_overlap
w01	NC_051811.1	lnc_RNA	rna-XR_005429707.1	LOC119872513	-	17289491	32785	False
w01	NC_051811.1	lnc_RNA	rna-XR_005429706.1	LOC119876429	+	17215284	40421	False
w01	NC_051811.1	lnc_RNA	rna-XR_005429705.1	LOC119872512	+	17172364	83341	False
w01	NC_051811.1	lnc_RNA	rna-XR_005429708.1	LOC119872514	-	17366734	110028	False
w01	NC_051811.1	mRNA	rna-XM_038671115.1	C7H1orf21	+	17367215	110509	False
w01	NC_051811.1	mRNA	rna-XM_038671116.1	C7H1orf21	+	17367215	110509	False
w01	NC_051811.1	mRNA	rna-XM_038671117.1	C7H1orf21	+	17368531	111825	False
w01	NC_051811.1	mRNA	rna-XM_038671113.1	COLGALT2	-	17091911	163794	False
w01	NC_051811.1	mRNA	rna-XM_038671114.1	TSEN15	+	17091395	164310	False
w01	NC_051811.1	mRNA	rna-XM_038671111.1	COLGALT2	-	17076910	178795	False
w01	NC_051811.1	mRNA	rna-XM_038671112.1	COLGALT2	-	17024604	231101	False
w01	NC_051811.1	lnc_RNA	rna-XR_005429703.1	LOC111096642	-	16944755	310950	False
w01	NC_051811.1	lnc_RNA	rna-XR_005429704.1	LOC111096642	-	16944755	310950	False
w01	NC_051811.1	lnc_RNA	rna-XR_005429712.1	LOC106559023	-	17633427	376721	False
w01	NC_051811.1	lnc_RNA	rna-XR_005429710.1	LOC106559023	-	17633427	376721	False
w01	NC_051811.1	lnc_RNA	rna-XR_005429709.1	LOC106559023	-	17633427	376721	False
w01	NC_051811.1	lnc_RNA	rna-XR_005429711.1	LOC106559023	-	17633427	376721	False
w01	NC_051811.1	lnc_RNA	rna-XR_005429715.1	LOC106559023	-	17633427	376721	False
w01	NC_051811.1	lnc_RNA	rna-XR_005429714.1	LOC106559023	-	17633427	376721	False
w01	NC_051811.1	lnc_RNA	rna-XR_005429713.1	LOC106559023	-	17633427	376721	False
w01	NC_051811.1	mRNA	rna-XM_038671108.1	RGL1	+	16844486	411219	False
w01	NC_051811.1	mRNA	rna-XM_038671121.1	EDEM3	-	17725318	468612	False
w01	NC_051811.1	mRNA	rna-XM_038671120.1	EDEM3	-	17725320	468614	False
w01	NC_051811.1	mRNA	rna-XM_038671119.1	EDEM3	-	17725321	468615	False
w01	NC_051811.1	mRNA	rna-XM_038671118.1	EDEM3	-	17725322	468616	False
w01	NC_051811.1	lnc_RNA	rna-XR_005429716.1	LOC111096643	+	17742725	486019	False
w01	NC_051811.1	transcript	rna-XR_005429701.1	APOBEC4	-	16734518	521187	False
w01	NC_051811.1	transcript	rna-XR_005429702.1	APOBEC4	-	16734518	521187	False
w01	NC_051811.1	mRNA	rna-XM_038671110.1	APOBEC4	-	16734518	521187	False
w01	NC_051811.1	mRNA	rna-XM_038671107.1	RGL1	+	16718211	537494	False
w01	NC_051811.1	mRNA	rna-XM_038671109.1	RGL1	+	16718211	537494	False
w01	NC_051811.1	mRNA	rna-XM_038671106.1	ARPC5	-	16717918	537787	False
w01	NC_051811.1	lnc_RNA	rna-XR_005429348.1	LOC111096874	+	16678949	576756	False
w01	NC_051811.1	mRNA	rna-XM_038670516.1	NCF2	-	16676709	578996	False
w01	NC_051811.1	mRNA	rna-NM_001101832.1	NCF2	-	16676468	579237	False
w01	NC_051811.1	mRNA	rna-XM_038671123.1	NIBAN1	-	17908882	652176	False
w01	NC_051811.1	mRNA	rna-XM_038671124.1	NIBAN1	-	17909090	652384	False
w01	NC_051811.1	snRNA	rna-XR_005430460.1	LOC119872715	+	17949144	692438	False
w01	NC_051811.1	mRNA	rna-XM_038671089.1	SMG7	+	16553539	702166	False
w01	NC_051811.1	mRNA	rna-XM_038671093.1	SMG7	+	16553539	702166	False
w01	NC_051811.1	mRNA	rna-XM_038671092.1	SMG7	+	16553538	702167	False
w01	NC_051811.1	mRNA	rna-XM_038671085.1	SMG7	+	16553537	702168	False
w01	NC_051811.1	mRNA	rna-XM_038671090.1	SMG7	+	16553537	702168	False
w01	NC_051811.1	mRNA	rna-XM_038671091.1	SMG7	+	16553537	702168	False
