tile_id	source_start	source_end	source_window	reference	start	end	mapq	cigar	NM	secondary	supplementary	reverse	XA
1368	27042386	27042486	w13	NC_051836.1	27042386	27042486	60	100M	0	False	False	False	
1368	27042386	27042486	w13	NC_051817.1	19681540	19681631	0	9H91M	6	True	False	False	
1369	27042411	27042511	w13	NC_051836.1	27042411	27042511	43	100M	0	False	False	False	
1369	27042411	27042511	w13	NC_051843.1	12419167	12419260	0	93M7H	2	True	False	True	
1369	27042411	27042511	w13	NC_051808.1	36173250	36173343	0	7H93M	4	True	False	False	
1369	27042411	27042511	w13	NC_051805.1	17308323	17308416	0	7H93M	4	True	False	False	
1369	27042411	27042511	w13	NC_051812.1	13509819	13509912	0	93M7H	4	True	False	True	
1369	27042411	27042511	w13	NC_051813.1	3471606	3471699	0	93M7H	4	True	False	True	
1369	27042411	27042511	w13	NC_051830.1	13424275	13424368	0	7H93M	5	True	False	False	
1369	27042411	27042511	w13	NC_051843.1	118874028	118874113	0	7H85M8H	3	True	False	False	
1369	27042411	27042511	w13	NC_051811.1	61004843	61004920	0	23H77M	2	True	False	False	
1369	27042411	27042511	w13	NC_051822.1	39019095	39019188	0	7H93M	6	True	False	False	
1370	27042436	27042536	w13	NC_051836.1	27042436	27042536	51	100M	0	False	False	False	
1370	27042436	27042536	w13	NC_051843.1	12419157	12419242	0	15H85M	1	True	False	True	
1370	27042436	27042536	w13	NC_051825.1	41573274	41573374	0	100M	6	True	False	True	
1370	27042436	27042536	w13	NC_051836.1	32754081	32754170	0	89M11H	5	True	False	False	
1371	27042461	27042561	w13	NC_051836.1	27042461	27042561	60	100M	0	False	False	False	
1371	27042461	27042561	w13	NC_051810.1	52404948	52405020	0	28H72M	1	True	False	True	
1371	27042461	27042561	w13	NC_051810.1	61278739	61278810	0	71M29H	1	True	False	False	
1371	27042461	27042561	w13	NC_051834.1	17982648	17982720	0	72M28H	2	True	False	False	
1371	27042461	27042561	w13	NC_051836.1	32754106	32754170	0	64M36H	1	True	False	False	
1371	27042461	27042561	w13	NC_051843.1	12419157	12419217	0	40H60M	0	True	False	True	
1371	27042461	27042561	w13	NC_051843.1	84185801	84185861	0	40H60M	0	True	False	True	
1371	27042461	27042561	w13	NC_051821.1	20737090	20737150	0	60M40H	0	True	False	False	
1371	27042461	27042561	w13	NC_051811.1	12425902	12425974	0	28H72M	3	True	False	True	
1371	27042461	27042561	w13	NC_051814.1	56271505	56271576	0	71M29H	3	True	False	False	
1371	27042461	27042561	w13	NC_051843.1	90586647	90586718	0	29H71M	3	True	False	True	
1371	27042461	27042561	w13	NC_051809.1	39482090	39482150	0	40H60M	1	True	False	True	
1371	27042461	27042561	w13	NC_051817.1	56582831	56582891	0	40H60M	1	True	False	True	
1371	27042461	27042561	w13	NC_051808.1	37426654	37426714	0	40H60M	1	True	False	True	
1371	27042461	27042561	w13	NC_051837.1	22720337	22720397	0	60M40H	1	True	False	False	
1404	27042361	27042511	w13	NC_051836.1	27042361	27042511	60	150M	0	False	False	False	
1404	27042361	27042511	w13	NC_051805.1	17308297	17308416	0	31H119M	8	True	False	False	
1405	27042386	27042536	w13	NC_051836.1	27042386	27042536	60	150M	0	False	False	False	
1405	27042386	27042536	w13	NC_051843.1	12419157	12419296	0	15H117M4D18M	10	True	False	True	
1406	27042411	27042561	w13	NC_051836.1	27042411	27042561	60	150M	0	False	False	False	
1406	27042411	27042561	w13	NC_051843.1	12419157	12419260	0	40H103M7H	2	True	False	True	
1407	27042436	27042586	w13	NC_051836.1	27042436	27042586	60	150M	0	False	False	False	
1407	27042436	27042586	w13	NC_051843.1	12419157	12419242	0	65H85M	1	True	False	True	
